"","Search","Program","Date","Title","Company","Location","Description"
"1","security analyst","MSCM","2022-09-22","Sr.Cyber Security Analyst - Threat Hunter","Adobe","Lehi, UT 84043","Our Company * Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact wit..."
"2","data architect","MSIS","2022-09-22","Solutions Consultant","Adobe","Lehi, UT 84043","Our Company * Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact wit..."
"3","data engineer","MSIS","2022-09-22","Lead Data Engineer - Venture Portfolio Company","BCGDV","Remote in Salt Lake City, UT","* *  Digital Ventures is now part of BCG X, home to the world's best tech-build and design talent. *   We are an ever-growing global team of the world's most remarkable entrepreneurs, designers, engineers, venture architects, product experts and investors. Our ventures create a strategic advantage for the most important global companies. *   We are assisting..."
"4","data engineer","MSIS","2022-09-22","Senior Data Engineer- Cloud (AWS, Azure, GCP)","CapTech Consulting","Remote in Salt Lake City, UT","* Company Description*  CapTech is a team of master builders, creators, and problem solvers who help clients grow efficient, successful businesses. We unite diverse skills and perspectives to transform how data, systems, and ingenuity enable each client to advance what’s possible in a changing world.*  As perceptive partners, our U.S-based consultants find i..."
"5","database administrator","MSIS","2022-09-22","Database Administrator - Remote (WFH)","Cognitive Medical Systems","Remote in Salt Lake City, UT 84106","* Position Summary*  We are looking for a SQL Server DBA with ability to help architect and maintain multiple databases for development and production environments. This person should also have familiarity with data access techniques across multiple platforms and have the flexibility to support non-Microsoft operating systems and tools.*  Duties:*  Identifie..."
"6","cloud engineer","MSIS","2022-09-22","Senior Cloud Engineer","Executech","South Jordan, UT 84095","* Job Description: * The Sr. Cloud Engineer position is responsible for performing all technical duties associated with engineering, delivering, and supporting Cloud services for our clients. This includes fundamental solution design, project planning and implementation of Azure architectures in line with the Microsoft Well Architected Framework. The Cloud E..."
"7","data scientist","MSBA","2022-09-22","Director, Data Scientist","KPMG","Salt Lake City, UT 84101 (Downtown area)","* Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today’s most important industries. Our growth is driven by delivering real results for our clients. It’s also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative exc..."
"8","security systems engineer","MSCM","2022-09-22","Specialist, Information Security Systems Engineer (ISSE)","L3Harris Technologies","Salt Lake City, UT 84116 (Jordan Meadows area)","* Description: * Job Title: Specialist, Information Security Systems Engineer *  Job Location: Salt Lake City-UT *  Job Code: CS20210612-73773 *  * L3Harris’ Communication Systems segment is currently seeking a Specialist, Information Security Systems Engineer to join our team. This position will be based at our Salt Lake City-UT facility. *  Position Overvi..."
"9","cybersecurity analyst","MSCM","2022-09-22","Cybersecurity Analyst","Leidos","Layton, UT 84041","* Description * * Job Description:*  Are you ready to join an impactful company? Leidos is a Fortune 500® technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, civil, and health markets.*  Leidos has a current job opportunity for a Cybersecurity Analyst at Hill AFB, U..."
"10","security analyst","MSCM","2022-09-22","Cybersecurity Analyst","Leidos","Layton, UT 84041","* Description * * Job Description:*  Are you ready to join an impactful company? Leidos is a Fortune 500® technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, civil, and health markets.*  Leidos has a current job opportunity for a Cybersecurity Analyst at Hill AFB, U..."
"11","data analyst","MSBA","2022-09-22","Billing Data Analyst","NICE CXone","Hybrid remote in Salt Lake City, UT","* Billing Data Analyst*  Location: Salt Lake City, UT (office based, hybrid work schedule) The primary purpose of the Billing Data Analyst is to design and develop Billing related solutions through the writing of SQL reports, code, and stored procedures / functions. This position responds to internal customers for custom reporting and queries. The Billing Da..."
"12","cybersecurity analyst","MSCM","2022-09-22","Cybersecurity Analyst","OM Group Inc.","Ogden, UT","* *  Data Center Cybersecurity Analyst – Secret Clearance*   OM Group, Inc. is a fast-growing Microsoft Azure and AWS Partner delivering full-stack cloud services for Federal & DoD clients. We are building a Data Center Sustainment and Modernization Center of Excellence (DCM-CoE) to continue and evolve on-prem/cloud/hybrid application hosting platforms, auto..."
"13","security analyst","MSCM","2022-09-22","Cybersecurity Analyst","OM Group Inc.","Ogden, UT","* *  Data Center Cybersecurity Analyst – Secret Clearance*   OM Group, Inc. is a fast-growing Microsoft Azure and AWS Partner delivering full-stack cloud services for Federal & DoD clients. We are building a Data Center Sustainment and Modernization Center of Excellence (DCM-CoE) to continue and evolve on-prem/cloud/hybrid application hosting platforms, auto..."
"14","data analyst","MSBA","2022-09-22","PwC Technology - Salesforce Data Analyst","PRICE WATERHOUSE COOPERS","Remote in Salt Lake City, UT 84111","* A career in Information Technology, within Internal Firm Services, will provide you with the opportunity to support our core business functions by deploying applications that enable our people to work more efficiently and deliver the highest levels of service to our clients. You’ll focus on managing the design and implementation of technology infrastructur..."
"15","data scientist","MSBA","2022-09-22","Data Scientist at Sleep Startup","Recruiting From Scratch","Remote in Salt Lake City, UT 84103","* *  Who is Recruiting from Scratch:*   Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capi..."
