"","ID","Link","Work Model","Job_Type","Program"
"1","0a86df6537dd55bae815eded0d37b22e","https://www.indeed.com/rc/clk?jk=9f867a66120f0d95&fccid=595d42593839d3a2&vjs=3","Remote","Part-time","MSIS"
"2","e5d5ea0a5bd6afdbec1ae750a3b1fde0","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChYVx_I3yfZ_JDY3EFoivtqvi_stwnZ_kRt8Dowt_l_d1ydueao4NE-oUleRJ4yhj6Tx0fE9MGKhF7zvyb_qKeo43z0lDdCz7P8GDI7J-XNTPkf5ntxgq7wGGM0YhcqrQN2JEClD5pkzmqjmHfPplAXCBGxm7eauJLptmMk4hTK2e4CLs14JgvnZg5m20TfNKlpY2DSQn4JEtiPV8R3zzbpiDo9jm3_CVXjVu-2X8Oe9IU-nHw5sr4Hh-zS8MyVUyNP9cr-5_E-Y6te2HWAeYq0wy4wb2d9rx5tmeuXNZcajdVzEFv50MeNUlIqiExaBcPdXGAh2EiiObTFfgBWMv3C_D7QgpGNg3R5vRpqKS-Q2DV4diBcMyrbU3OKm3YwIobQ3_wl3whf6oleV85A-GKYDmIUcwCz-7f9PO4uTiQMAmfXnSe-ZCurD7nC0YdCnCgmy64jzLobgq5cJdTSL2LXr7i6IFNEsIx0fSKmVCU6GajEdJFuAYpGGdd49vea4YF_BCbpqgZsYbCwaRlAQZn9Moalv-3hMt_BRRZ137vXTc6DAwNgHh7rl4UQn9PPBjuJSm-LTjwIXb1ISkjJsH_bqDCx_UtDIBIVCHq9WgpSN2xdxX_qPAXj48YLvxND_ZElwehWlaMkuANMZ7DthtXVAna1fxdAOD8Bj0XKveYe20V_HdkNifJkXdZHTVRvp6V3Q-uBFjU8CL1ZNYouRjKqJAj8qf3ZiuD4-F6Qk-UCIAID7QQOnwAn3m1cTwL4SwvR2riXWn8lcd25TWk9uCHrlG-5tK9r1RpnQA8NGXwsxblFzMrsFTzmydnw1Iz1SthWcW2hKN22sSo3-U8LXV9nVtxWrf8PrRgt2ULCooSrijBzWQPIwfXQ0ofvv2OmwA-fLIrRAleWiFwQoFIuRmZ-kZX0jdj81fp_oiRcRt7Zx1gi3T8VrDMz7E41YA7_QVjfPWUW_LkUTy1mZ1SlKxm00ZHM_PbpXQjlX3QTHHMkrLjBuvkv6puCdWvpPASlLhTVJBgyXrfgmgA10iS1DWsDM3vMh-WCvPDTBIh6fPG5dTdOAKq0sQhzKIgJ9HC7AI=&xkcb=SoCK-_M3YZCQ6fzekZ0KbzkdCdPP&p=12&fvj=0&vjs=3","On-site","Part-time","MSIS"
"3","9954507f9381b8b6a2e65405f762c8e5","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CF4JVNslpzfAXILsbLvZGlx_MnSSX6IlvFMKRxAuWvyNglqUY1WG5Q4RKPiClSt4VhBpqj1aWGZtfGveekZ-aurn7Imp260sVJ56slbKx-675b1XWW9qhaK4LnlYffrjTgOHREbdss99elhq1L9HbjCGHUNMEUwmnVdvAJFR3kTeYeqX7I9MggNlMuT9R1fCfqvhbu88egdNngrT1cseY-rlx6wfoPh8g2K0M_0WISDytm_Ces9SIuFSSu3SetncGnazt6JO6cDbi7jpQ7i34SmJyXq39cR78wqBmwGDA7AUtHcw7eg5427Oxv5_-HjFe3ZS5kfhh3WjbJ1exqNfBIx0gJtVhd-PxOi7nSxSDKPhZELfNesXRBAMEoIaB9b1FOZU4V5tlGup6bgwIfn6uSaUOTtEBpdSC8P9AvAUfXF4DVGUDSfllrBTUGcc6gvSvJ9RkykbSMFS3xi1MKJ9pf2VvykbylxECpajjm_fuMrdQE3dXCKk_VzwLhiEc780D4wPkR1JtovA==&xkcb=SoA5-_M3YZCqFcAc3D0LbzkdCdPP&p=0&fvj=1&vjs=3","Hybrid","Full-time","MSIS"
"4","df5e98124a7ed4b46d132d11a2e122ae","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CF4JVNslpzfAXILsbLvZGlx_MnSSX6IlvFMKRxAuWvyNglqUY1WG5Q4RKPiClSt4VhBpqj1aWGZtfGveekZ-aurn7Imp260sVJ56slbKx-675b1XWW9qhaK4LnlYffrjTgOHREbdss99elhq1L9HbjCGHUNMEUwmnVdvAJFR3kTeYeqX7I9MggpWdcOdSaU54-__bhWM2Xb8GfjsQxWtvO9hO_AeKwrHsRLE5yMCXFhV2X3PhdCF3VWcyb7MvjnK9cRbVRUhTuT77SNSGNiNByXU8HdRXvsPBZcK5tUqXs1idlJ4XWqh0Mtp_fCfFyS_M36scO6vWI1dfexBfk61DwyqTcxw36zjoD4zdgBimHrleOScuomJj9czYdq0MzZQzDqo8wZSE0F2p63QdPM5jc-17ThPwVffPAUgylwMB-ztzEhZKU-DZKbHjCMMLvFKLMWjpVxxniybFxak_FWoNBIcitsLhNews1RBqZUlvMMMOgoqUBEGJQ&xkcb=SoBa-_M3YZCk3sXvWB0LbzkdCdPP&p=0&fvj=1&vjs=3","Hybrid","Full-time","MSBA"
"5","f70e5066ca9f0500afea2babe9805709","https://www.indeed.com/rc/clk?jk=c6a346096c26ac95&fccid=750519a78bd61ef7&vjs=3","On-site","Part-time","MSBA"
"6","9550a46a5f250dc3430332fce0d72a17","https://www.indeed.com/rc/clk?jk=a1bca9242fa33a4b&fccid=e4515744bd4f8952&vjs=3","On-site","Part-time","MSIS"
"7","0bf9f5ae5d83a0fcecee739c4aa6b43f","https://www.indeed.com/rc/clk?jk=a1d2bbee4b76d3fb&fccid=3c2181d40a370308&vjs=3","Hybrid","Part-time","MSCM"
"8","66606ea66e2922dbb56aba7915782141","https://www.indeed.com/rc/clk?jk=240f866f1b948bd1&fccid=105ecfd0283f415f&vjs=3","Hybrid","Part-time","MSIS"
"9","d566c839f575b262ecc772b63c0715e3","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DrUW8PynzodE1dkKVOttkfmaKdxaOcCLoS_cJexjGlDUw9nFgH7GqDymkgScYerG9vAhgGCgq2nZewztCNnYXCAT600ptmwNXO63qEwwqtsbRkBLIMjk_lXcmDEQoIpgOi5by_QcLhkjwytgoVQ8v66QarN6Ieg9P-yV2mjC-r1pgGgLZngZHOY_aygH8MAphe2AZ_bD6PK3saImd-CZGSA8_xTn1jwn4fGJpcurs37knzQk3Mut9ebDVatZV467S8uWl9f625uQ4j5lUqflLM0MK52OV8Y2uumJj21Po6oQLPrwAfOnVe39Uv6OMU2aKxGHYE5x_e03IUccZGM8SWOnj712A5d-tswH2vcWnL-y8gCzlx7fHFWAT-mJSrZQ42U_poH9yAn_wPGSUT5Ld_U4Da4gxc6F7lQlzK--8UhCpGjca3zdeLiAhB4stZqyDgAmnT5x9xw6IHUzZi_hDWtbW_V0POBNpSdDElVve3PSTxmUxfpbDFIKH7bhCvV_FCNjfahmTvYgZu-ntwob-iPEypn6Y-LlBWthfBt1YUvPSIy4z-XVB5&xkcb=SoAq-_M3YZCoNMwk9B0JbzkdCdPP&p=1&fvj=1&vjs=3","On-site","Full-time","MSIS"
"10","993327e19e3adb616b2dfafcd85c22f4","https://www.indeed.com/rc/clk?jk=b6446664050b09c2&fccid=afbf8c270610a38a&vjs=3","On-site","Part-time","MSCM"
